artifact,role,size_bytes,sha256,source_run,required_for
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s3_evaluation.json,config/report,9218,4fc25e463c47324ec06d2f830af6f7026dec3137cb8223a6c8a7023e005cb47f,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s3,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s4__target_test[ddr]_predictions.csv,predictions,2376328,516ff750eb143af31d27cb98ed14d394165bd5c257106452db421b1ff8cbc4c9,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s4,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s4_evaluation.json,config/report,9210,81b7c07ee2f38f481554fec97166a7469d86319c2b89d0b5db3c8874e1b7d53a,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s4,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s5__target_test[ddr]_predictions.csv,predictions,2373703,8513336fe210af56b4789e495da9349b316feadf90b9d53d56a3cc4301ea869f,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s5,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s5_evaluation.json,config/report,9245,6f311ad2708f1e08cccc9a7f18aab3fe1c9fa4f9228628f7ccf03ecd0fd1a8c5,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s5,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s6__target_test[ddr]_predictions.csv,predictions,2374536,5023e3d06bca4f89c923a0855ecc7425a620ab675dd2053c012fbcb07df37672,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s6,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s6_evaluation.json,config/report,9216,005406bd6643ca266391fd5de38bd6ed3aa844b5d4d5f1dfac177f2878bfc836,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s6,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s7__target_test[ddr]_predictions.csv,predictions,2375351,4626834d67b518a0829a9724cac9572c4f191867662076b2f1ee506525312907,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s7,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s7_evaluation.json,config/report,9198,fc4d4769d35e59c4eba3eadbca1b5873379f49b021d79154d55e825360fea718,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s7,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s8__target_test[ddr]_predictions.csv,predictions,2374759,9c343d703cfbb648f8979eab49ccd105e8ccc6abe7f8f64ec36152558025690f,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s8,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s8_evaluation.json,config/report,9219,685f80212ec0c6f13e5f9981f59668ff2d5ada6318ebc632f982b5cac9bb6461,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s8,"temperature, config, recorded metrics"
predictions\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s9__target_test[ddr]_predictions.csv,predictions,2375398,e5981dda0704286bbda99c5977f696bfbb8e4decf925b14f05ce043c035ce2ec,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s9,primary interaction; master results; referable-DR secondary
configs\lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s9_evaluation.json,config/report,9222,81480f21b595121a78ccc6bfe779fac585fceba12422faafea9ff4bba8044cb9,lodo_aptos-eyepacs-idrid__ddr_retfound-cfp_linprobe-b256_s9,"temperature, config, recorded metrics"
